154	 1.7300000000e+002	 9.99047e-001
155	 1.7400000000e+002	 9.99027e-001
156	 1.7500000000e+002	 9.98970e-001
157	 1.7600000000e+002	 9.98940e-001
158	 1.7700000000e+002	 9.98900e-001
159	 1.7800000000e+002	 9.98893e-001
160	 1.7900000000e+002	 9.98905e-001
161	 1.8000000000e+002	 9.98857e-001
162	 1.8100000000e+002	 9.98759e-001
163	 1.8200000000e+002	 9.98620e-001
164	 1.8300000000e+002	 9.98501e-001
165	 1.8400000000e+002	 9.98411e-001
166	 1.8500000000e+002	 9.98277e-001
167	 1.8600000000e+002	 9.98055e-001
168	 1.8700000000e+002	 9.97809e-001
169	 1.8800000000e+002	 9.97466e-001
170	 1.8900000000e+002	 9.96866e-001
171	 1.9000000000e+002	 9.96066e-001
172	 1.9100000000e+002	 9.95162e-001
173	 1.9200000000e+002	 9.94013e-001
174	 1.9300000000e+002	 9.92364e-001
175	 1.9400000000e+002	 9.89711e-001
176	 1.9500000000e+002	 9.85585e-001
177	 1.9600000000e+002	 9.79127e-001
178	 1.9700000000e+002	 9.69090e-001
179	 1.9800000000e+002	 9.56119e-001
180	 1.9900000000e+002	 9.48212e-001
181	 2.0000000000e+002	 9.54721e-001
182	 2.0100000000e+002	 9.68765e-001
183	 2.0200000000e+002	 9.79874e-001
184	 2.0300000000e+002	 9.86763e-001
185	 2.0400000000e+002	 9.91060e-001
186	 2.0500000000e+002	 9.93686e-001
187	 2.0600000000e+002	 9.95481e-001
188	 2.0700000000e+002	 9.96734e-001
189	 2.0800000000e+002	 9.97520e-001
190	 2.0900000000e+002	 9.98042e-001
191	 2.1000000000e+002	 9.98353e-001
192	 2.1100000000e+002	 9.98619e-001
193	 2.1200000000e+002	 9.98830e-001
194	 2.1300000000e+002	 9.99009e-001
195	 2.1400000000e+002	 9.99215e-001
196	 2.1500000000e+002	 9.99392e-001
197	 2.1600000000e+002	 9.99509e-001
198	 2.1700000000e+002	 9.99595e-001
199	 2.1800000000e+002	 9.99648e-001
200	 2.1900000000e+002	 9.99667e-001
201	 2.2000000000e+002	 9.99668e-001
202	 2.2100000000e+002	 9.99676e-001
203	 2.2200000000e+002	 9.99648e-001
204	 2.2300000000e+002	 9.99646e-001
205	 2.2400000000e+002	 9.99648e-001
206	 2.2500000000e+002	 9.99654e-001
207	 2.2600000000e+002	 9.99634e-001
208	 2.2700000000e+002	 9.99629e-001
209	 2.2800000000e+002	 9.99632e-001
210	 2.2900000000e+002	 9.99609e-001
211	 2.3000000000e+002	 9.99619e-001
212	 2.3100000000e+002	 9.99619e-001
213	 2.3200000000e+002	 9.99624e-001
214	 2.3300000000e+002	 9.99615e-001
215	 2.3400000000e+002	 9.99620e-001
216	 2.3500000000e+002	 9.99617e-001
217	 2.3600000000e+002	 9.99619e-001
218	 2.3700000000e+002	 9.99625e-001
219	 2.3800000000e+002	 9.99625e-001
220	 2.3900000000e+002	 9.99629e-001
221	 2.4000000000e+002	 9.99628e-001
222	 2.4100000000e+002	 9.99649e-001
223	 2.4200000000e+002	 9.99656e-001
224	 2.4300000000e+002	 9.99654e-001
225	 2.4400000000e+002	 9.99646e-001
226	 2.4500000000e+002	 9.99648e-001
227	 2.4600000000e+002	 9.99640e-001
228	 2.4700000000e+002	 9.99628e-001
229	 2.4800000000e+002	 9.99619e-001
230	 2.4900000000e+002	 9.99602e-001
231	 2.5000000000e+002	 9.99592e-001
232	 2.5100000000e+002	 9.99614e-001
233	 2.5200000000e+002	 9.99604e-001
234	 2.5300000000e+002	 9.99597e-001
235	 2.5400000000e+002	 9.99596e-001
236	 2.5500000000e+002	 9.99579e-001
237	 2.5600000000e+002	 9.99558e-001
238	 2.5700000000e+002	 9.99550e-001
239	 2.5800000000e+002	 9.99518e-001
240	 2.5900000000e+002	 9.99489e-001
241	 2.6000000000e+002	 9.99484e-001
242	 2.6100000000e+002	 9.99457e-001
243	 2.6200000000e+002	 9.99448e-001
244	 2.6300000000e+002	 9.99402e-001
245	 2.6400000000e+002	 9.99383e-001
246	 2.6500000000e+002	 9.99352e-001
247	 2.6600000000e+002	 9.99321e-001
248	 2.6700000000e+002	 9.99247e-001
249	 2.6800000000e+002	 9.99221e-001
250	 2.6900000000e+002	 9.99157e-001
251	 2.7000000000e+002	 9.99114e-001
252	 2.7100000000e+002	 9.99017e-001
253	 2.7200000000e+002	 9.99027e-001
254	 2.7300000000e+002	 9.98956e-001
255	 2.7400000000e+002	 9.98909e-001
256	 2.7500000000e+002	 9.98837e-001
257	 2.7600000000e+002	 9.98738e-001
258	 2.7700000000e+002	 9.98684e-001
259	 2.7800000000e+002	 9.98644e-001
260	 2.7900000000e+002	 9.98622e-001
261	 2.8000000000e+002	 9.98547e-001
262	 2.8100000000e+002	 9.98551e-001
263	 2.8200000000e+002	 9.98557e-001
264	 2.8300000000e+002	 9.98542e-001
265	 2.8400000000e+002	 9.98601e-001
266	 2.8500000000e+002	 9.98591e-001
267	 2.8600000000e+002	 9.98621e-001
268	 2.8700000000e+002	 9.98687e-001
269	 2.8800000000e+002	 9.98711e-001
270	 2.8900000000e+002	 9.98793e-001
271	 2.9000000000e+002	 9.98849e-001
272	 2.9100000000e+002	 9.98881e-001
273	 2.9200000000e+002	 9.98942e-001
274	 2.9300000000e+002	 9.98997e-001
275	 2.9400000000e+002	 9.99040e-001
276	 2.9500000000e+002	 9.99108e-001
277	 2.9600000000e+002	 9.99140e-001
278	 2.9700000000e+002	 9.99181e-001
279	 2.9800000000e+002	 9.99195e-001
280	 2.9900000000e+002	 9.99201e-001
281	 3.0000000000e+002	 9.99252e-001
282	 3.0100000000e+002	 9.99282e-001
283	 3.0200000000e+002	 9.99288e-001
284	 3.0300000000e+002	 9.99331e-001
285	 3.0400000000e+002	 9.99359e-001
286	 3.0500000000e+002	 9.99348e-001
287	 3.0600000000e+002	 9.99373e-001
288	 3.0700000000e+002	 9.99419e-001
289	 3.0800000000e+002	 9.99388e-001
290	 3.0900000000e+002	 9.99414e-001
291	 3.1000000000e+002	 9.99404e-001
292	 3.1100000000e+002	 9.99402e-001
293	 3.1200000000e+002	 9.99415e-001
294	 3.1300000000e+002	 9.99426e-001
295	 3.1400000000e+002	 9.99428e-001
296	 3.1500000000e+002	 9.99428e-001
297	 3.1600000000e+002	 9.99427e-001
298	 3.1700000000e+002	 9.99441e-001
299	 3.1800000000e+002	 9.99462e-001
300	 3.1900000000e+002	 9.99449e-001
301	 3.2000000000e+002	 9.99471e-001
302	 3.2100000000e+002	 9.99469e-001
303	 3.2200000000e+002	 9.99488e-001
304	 3.2300000000e+002	 9.99473e-001
305	 3.2400000000e+002	 9.99486e-001
306	 3.2500000000e+002	 9.99506e-001
307	 3.2600000000e+002	 9.99490e-001
308	 3.2700000000e+002	 9.99509e-001
309	 3.2800000000e+002	 9.99518e-001
310	 3.2900000000e+002	 9.99525e-001
311	 3.3000000000e+002	 9.99539e-001
312	 3.3100000000e+002	 9.99550e-001
313	 3.3200000000e+002	 9.99569e-001
314	 3.3300000000e+002	 9.99592e-001
315	 3.3400000000e+002	 9.99581e-001
316	 3.3500000000e+002	 9.99598e-001
317	 3.3600000000e+002	 9.99615e-001
318	 3.3700000000e+002	 9.99617e-001
319	 3.3800000000e+002	 9.99620e-001
320	 3.3900000000e+002	 9.99652e-001
321	 3.4000000000e+002	 9.99649e-001
322	 3.4100000000e+002	 9.99655e-001
323	 3.4200000000e+002	 9.99658e-001
324	 3.4300000000e+002	 9.99669e-001
325	 3.4400000000e+002	 9.99675e-001
326	 3.4500000000e+002	 9.99667e-001
327	 3.4600000000e+002	 9.99661e-001
328	 3.4700000000e+002	 9.99654e-001
329	 3.4800000000e+002	 9.99634e-001
330	 3.4900000000e+002	 9.99624e-001
331	 3.5000000000e+002	 9.99622e-001
332	 3.5100000000e+002	 9.99609e-001
333	 3.5200000000e+002	 9.99583e-001
334	 3.5300000000e+002	 9.99593e-001
335	 3.5400000000e+002	 9.99555e-001
336	 3.5500000000e+002	 9.99565e-001
337	 3.5600000000e+002	 9.99522e-001
338	 3.5700000000e+002	 9.99508e-001
339	 3.5800000000e+002	 9.99450e-001
340	 3.5900000000e+002	 9.99440e-001
341	 3.6000000000e+002	 9.99392e-001
342	 3.6100000000e+002	 9.99383e-001
343	 3.6200000000e+002	 9.99332e-001
344	 3.6300000000e+002	 9.99319e-001
345	 3.6400000000e+002	 9.99249e-001
346	 3.6500000000e+002	 9.99195e-001
347	 3.6600000000e+002	 9.99226e-001
348	 3.6700000000e+002	 9.99127e-001
349	 3.6800000000e+002	 9.99135e-001
350	 3.6900000000e+002	 9.99089e-001
351	 3.7000000000e+002	 9.99104e-001
352	 3.7100000000e+002	 9.99081e-001
353	 3.7200000000e+002	 9.99050e-001
354	 3.7300000000e+002	 9.99025e-001
355	 3.7400000000e+002	 9.99006e-001
356	 3.7500000000e+002	 9.98961e-001
357	 3.7600000000e+002	 9.98932e-001
358	 3.7700000000e+002	 9.98899e-001
359	 3.7800000000e+002	 9.98888e-001
360	 3.7900000000e+002	 9.98827e-001
361	 3.8000000000e+002	 9.98815e-001
362	 3.8100000000e+002	 9.98762e-001
363	 3.8200000000e+002	 9.98716e-001
364	 3.8300000000e+002	 9.98628e-001
365	 3.8400000000e+002	 9.98537e-001
366	 3.8500000000e+002	 9.98492e-001
367	 3.8600000000e+002	 9.98367e-001
368	 3.8700000000e+002	 9.98272e-001
369	 3.8800000000e+002	 9.98135e-001
370	 3.8900000000e+002	 9.97984e-001
371	 3.9000000000e+002	 9.97848e-001
372	 3.9100000000e+002	 9.97572e-001
373	 3.9200000000e+002	 9.97337e-001
374	 3.9300000000e+002	 9.97074e-001
375	 3.9400000000e+002	 9.96763e-001
